CO Code,District Code,District,EDP 365,"Current
Expense ADA","Current
Expense Per ADA",LEA Type,County
1.00,61119,Alameda Unified,117225883,8969,13070,Unified,Alameda
1.00,61127,Albany City Unified,46611060,3545,13150,Unified,Alameda
1.00,61143,Berkeley Unified,159457818,9356,17043,Unified,Alameda
1.00,61150,Castro Valley Unified,102239937,8940,11436,Unified,Alameda
1.00,61168,Emery Unified,12504023,682,18339,Unified,Alameda
1.00,61176,Fremont Unified,382169476,33967,11251,Unified,Alameda
1.00,61192,Hayward Unified,266964087,18755,14234,Unified,Alameda
1.00,61200,Livermore Valley Joint Unified,158623654,13142,12070,Unified,Alameda
1.00,61218,Mountain House Elementary,485229,15,32500,Elementary,Alameda
1.00,61234,Newark Unified,66780275,5553,12026,Unified,Alameda
1.00,61242,New Haven Unified,124186923,10018,12397,Unified,Alameda
1.00,61259,Oakland Unified,538133452,32802,16406,Unified,Alameda
1.00,61275,Piedmont City Unified,42452181,2522,16833,Unified,Alameda
1.00,61291,San Leandro Unified,106671109,8473,12590,Unified,Alameda
1.00,61309,San Lorenzo Unified,129723029,9644,13451,Unified,Alameda
1.00,75093,Dublin Unified,122537246,11770,10411,Unified,Alameda
1.00,75101,Pleasanton Unified,165366882,14503,11402,Unified,Alameda
1.00,75119,Sunol Glen Unified,3706764,287,12908,Unified,Alameda
2.00,61333,Alpine County Unified,3202880,74,43009,Unified,Alpine
3.00,73981,Amador County Unified,36092489,3775,9560,Unified,Amador
4.00,61382,Bangor Union Elementary,1327313,101,13202,Elementary,Butte
4.00,61408,Biggs Unified,6898492,580,11889,Unified,Butte
4.00,61424,Chico Unified,145844465,11783,12377,Unified,Butte
4.00,61432,Durham Unified,11132392,998,11157,Unified,Butte
4.00,61440,Feather Falls Union Elementary,372481,9,43413,Elementary,Butte
4.00,61457,Golden Feather Union Elementary,1613106,52,30885,Elementary,Butte
4.00,61499,Manzanita Elementary,2977943,308,9670,Elementary,Butte
4.00,61507,Oroville City Elementary,27712865,2153,12872,Elementary,Butte
4.00,61515,Oroville Union High,27856421,1981,14062,High,Butte
4.00,61523,Palermo Union Elementary,14778799,1254,11785,Elementary,Butte
4.00,61531,Paradise Unified,39503178,3153,12529,Unified,Butte
4.00,61549,Thermalito Union Elementary,18706372,1496,12503,Elementary,Butte
4.00,73379,Pioneer Union Elementary,901930,57,15840,Elementary,Butte
4.00,75507,Gridley Unified,23369910,1981,11797,Unified,Butte
5.00,61556,Bret Harte Union High,10985989,598,18370,High,Calaveras
5.00,61564,Calaveras Unified,31919226,2644,12071,Unified,Calaveras
5.00,61572,Mark Twain Union Elementary,8077590,735,10992,Elementary,Calaveras
5.00,61580,Vallecito Union Elementary,8143778,538,15144,Elementary,Calaveras
6.00,61598,Colusa Unified,15853987,1423,11144,Unified,Colusa
6.00,61606,Maxwell Unified,4254260,327,13015,Unified,Colusa
6.00,61614,Pierce Joint Unified,15109110,1416,10673,Unified,Colusa
6.00,61622,Williams Unified,15600533,1227,12712,Unified,Colusa
7.00,61630,Acalanes Union High,80123902,5426,14765,High,Contra Costa
7.00,61648,Antioch Unified,205569457,15157,13563,Unified,Contra Costa
7.00,61655,Brentwood Union Elementary,96904870,8898,10890,Elementary,Contra Costa
7.00,61663,Byron Union Elementary,17425136,1418,12286,Elementary,Contra Costa
7.00,61671,Canyon Elementary,899164,66,13556,Elementary,Contra Costa
7.00,61697,John Swett Unified,16944621,1335,12691,Unified,Contra Costa
7.00,61705,Knightsen Elementary,6221986,605,10284,Elementary,Contra Costa
7.00,61713,Lafayette Elementary,41807976,3468,12055,Elementary,Contra Costa
7.00,61721,Liberty Union High,90972618,7762,11720,High,Contra Costa
7.00,61739,Martinez Unified,45252516,3936,11498,Unified,Contra Costa
7.00,61747,Moraga Elementary,22235246,1814,12259,Elementary,Contra Costa
7.00,61754,Mt. Diablo Unified,378275569,29299,12911,Unified,Contra Costa
7.00,61762,Oakley Union Elementary,52605707,5014,10493,Elementary,Contra Costa
7.00,61770,Orinda Union Elementary,33286207,2474,13453,Elementary,Contra Costa
7.00,61788,Pittsburg Unified,140830835,10724,13132,Unified,Contra Costa
7.00,61796,West Contra Costa Unified,356728762,26407,13509,Unified,Contra Costa
7.00,61804,San Ramon Valley Unified,339618873,31055,10936,Unified,Contra Costa
7.00,61812,Walnut Creek Elementary,38235135,3416,11192,Elementary,Contra Costa
8.00,61820,Del Norte County Unified,44698597,3393,13174,Unified,Del Norte
9.00,61838,Buckeye Union Elementary,49356482,4545,10860,Elementary,El Dorado
9.00,61846,Camino Union Elementary,5331758,450,11843,Elementary,El Dorado
9.00,61853,El Dorado Union High,77743141,6300,12341,High,El Dorado
9.00,61879,Gold Oak Union Elementary,4713461,447,10537,Elementary,El Dorado
9.00,61887,Gold Trail Union Elementary,6773636,631,10728,Elementary,El Dorado
9.00,61895,Indian Diggings Elementary,296802,19,16000,Elementary,El Dorado
9.00,61903,Lake Tahoe Unified,48032848,3590,13380,Unified,El Dorado
9.00,61911,Latrobe Elementary,2188019,141,15500,Elementary,El Dorado
9.00,61929,Mother Lode Union Elementary,11022596,986,11182,Elementary,El Dorado
9.00,61945,Pioneer Union Elementary,3520511,275,12816,Elementary,El Dorado
9.00,61952,Placerville Union Elementary,13321637,1241,10734,Elementary,El Dorado
9.00,61960,Pollock Pines Elementary,7326891,626,11703,Elementary,El Dorado
9.00,61978,Rescue Union Elementary,36921825,3531,10456,Elementary,El Dorado
9.00,61986,Silver Fork Elementary,422942,10,43965,Elementary,El Dorado
9.00,73783,Black Oak Mine Unified,11758401,978,12028,Unified,El Dorado
10.00,61994,Alvina Elementary,2322223,197,11765,Elementary,Fresno
10.00,62026,Big Creek Elementary,1176285,45,26198,Elementary,Fresno
10.00,62042,Burrel Union Elementary,1731008,120,14462,Elementary,Fresno
10.00,62109,Clay Joint Elementary,2397592,241,9965,Elementary,Fresno
10.00,62117,Clovis Unified,445849474,41008,10872,Unified,Fresno
10.00,62125,Coalinga-Huron Unified,54650684,4016,13609,Unified,Fresno
10.00,62158,Fowler Unified,31435017,2482,12663,Unified,Fresno
10.00,62166,Fresno Unified,910693020,66762,13641,Unified,Fresno
10.00,62240,Kingsburg Elementary Charter,21783571,2231,9763,Elementary,Fresno
10.00,62257,Kingsburg Joint Union High,13772119,1099,12530,High,Fresno
10.00,62265,Kings Canyon Joint Unified,117294184,9082,12916,Unified,Fresno
10.00,62281,Laton Joint Unified,9666240,632,15300,Unified,Fresno
10.00,62323,Monroe Elementary,2333662,157,14889,Elementary,Fresno
10.00,62331,Orange Center Elementary,4199403,303,13837,Elementary,Fresno
10.00,62356,Pacific Union Elementary,5539780,388,14261,Elementary,Fresno
10.00,62364,Parlier Unified,43396410,3316,13088,Unified,Fresno
10.00,62372,Pine Ridge Elementary,2289526,100,22943,Elementary,Fresno
10.00,62380,Raisin City Elementary,4139851,279,14855,Elementary,Fresno
10.00,62414,Sanger Unified,126812105,10418,12173,Unified,Fresno
10.00,62430,Selma Unified,83968563,6100,13766,Unified,Fresno
