,county,agency_type_unified,total_spending_unified_sum,total_spending_unified_mean,agency_type,total_spending_high_sum,total_spending_high_mean,sat_enroll_sum19,sat_enroll_mean19,sat_test_taken_sum19,sat_test_taken_mean19,sat_participation_rate_mean19,sat_ERW_success_mean19,sat_Math_success_mean19,sat_Both_success_mean19,enroll12_sum_act,enroll12_mean_act,numtsttakr_act,numtsttakr_mean,act_participation_rate,avgscrmath_mean_act,avgscrsci_mean_act,avgscreng_mean_act,avgscrread_mean_act,pctge21_act,high_spend
0,Alameda,Unified,229017.0,13471.588235294117,,0.0,,49993.0,704.1267605633802,17701.0,249.30985915492957,42.117338310282534,68.84225352112676,51.99760563380281,49.05957746478873,49870.0,673.918918918919,10864.0,146.8108108108108,26.62952213372844,23.345454545454544,22.927272727272726,23.181818181818183,23.654545454545456,63.231272727272724,229017.0
2,Amador,Unified,9560.0,9560.0,,0.0,,845.0,211.25,159.0,39.75,20.16525703310257,83.07,66.06750000000001,62.3275,845.0,211.25,111.0,27.75,14.190515650733287,23.0,22.25,23.0,24.0,78.97,9560.0
3,Butte,Unified,59749.0,11949.8,High,14062.0,14062.0,7077.0,442.3125,1620.0,101.25,25.425798026676343,82.990625,58.762499999999996,56.406875,7225.0,380.2631578947368,678.0,35.68421052631579,8.112214075553748,23.1,22.5,21.5,22.7,62.073,73811.0
4,Calaveras,Unified,12071.0,12071.0,High,18370.0,18370.0,1178.0,235.6,256.0,51.2,22.796796946498677,91.276,66.65799999999999,66.65799999999999,1178.0,235.6,93.0,18.6,8.135276182282148,24.0,23.333333333333332,22.666666666666668,25.333333333333332,85.17333333333333,30441.0
5,Colusa,Unified,47544.0,11886.0,,0.0,,714.0,142.8,174.0,34.8,26.471249361250994,46.664,11.15,9.5,904.0,129.14285714285714,78.0,11.142857142857142,8.724892349464186,19.0,19.333333333333332,17.333333333333332,19.0,32.373333333333335,47544.0
6,Contra Costa,Unified,88240.0,12605.714285714286,High,26485.0,13242.5,41748.0,907.5652173913044,16203.0,352.2391304347826,44.46788683395929,70.63239130434783,52.07673913043479,50.21130434782608,42271.0,768.5636363636364,9549.0,173.61818181818182,21.993703507685343,22.5,22.38095238095238,22.714285714285715,23.547619047619047,60.17404761904762,114725.0
7,Del Norte,Unified,13174.0,13174.0,,0.0,,812.0,270.6666666666667,214.0,71.33333333333333,27.89062293993864,69.15333333333334,50.46666666666667,42.056666666666665,812.0,270.6666666666667,15.0,5.0,1.9576616602383097,,,,,,13174.0
8,El Dorado,Unified,25408.0,12704.0,High,12341.0,12341.0,5855.0,731.875,1756.0,219.5,28.554706004765173,87.205,70.68375,67.4525,6390.0,491.53846153846155,1395.0,107.3076923076923,15.877740987279962,23.625,23.25,23.375,24.25,70.66875,37749.0
9,Fresno,Unified,237039.0,13168.833333333334,High,12530.0,12530.0,39715.0,749.3396226415094,12104.0,228.37735849056602,33.65541075105891,60.27566037735849,33.085283018867926,31.194150943396227,40821.0,618.5,5415.0,82.04545454545455,16.851229928135915,19.29268292682927,19.51219512195122,18.463414634146343,19.70731707317073,34.74414634146341,249569.0
10,Glenn,Unified,79761.0,15952.2,,0.0,,1257.0,179.57142857142858,258.0,36.857142857142854,22.51903286861875,63.87714285714286,28.84857142857143,26.33142857142857,1257.0,179.57142857142858,216.0,30.857142857142858,19.17471891852783,18.6,20.0,19.4,20.6,34.656,79761.0
11,Humboldt,Unified,97568.0,19513.6,High,27850.0,13925.0,3348.0,304.3636363636364,801.0,72.81818181818181,29.68800625263219,83.69090909090909,64.98545454545454,60.82,3405.0,261.9230769230769,321.0,24.692307692307693,10.68606722398932,23.571428571428573,23.285714285714285,23.285714285714285,25.0,70.7,125418.0
12,Imperial,Unified,75498.0,15099.6,High,27000.0,13500.0,8646.0,540.375,2324.0,145.25,30.779797601132408,65.25750000000001,35.709375,32.81625,8646.0,540.375,1488.0,93.0,18.908426115125245,19.785714285714285,19.714285714285715,19.285714285714285,20.142857142857142,38.975,102498.0
13,Inyo,Unified,135924.0,27184.8,,0.0,,1286.0,257.2,240.0,48.0,24.513539840089674,43.366,30.674,26.74,871.0,174.2,84.0,16.8,10.99976970514617,22.0,22.0,22.0,23.0,69.53333333333335,135924.0
14,Kern,Unified,104912.0,13114.0,High,62333.0,15583.25,40101.0,954.7857142857143,11307.0,269.2142857142857,29.71346451029054,64.00285714285714,38.562619047619044,36.105714285714285,40137.0,933.4186046511628,3771.0,87.69767441860465,13.709301654303847,20.285714285714285,19.97142857142857,19.085714285714285,20.65714285714286,42.854285714285716,167245.0
15,Kings,Unified,25884.0,12942.0,High,25717.0,12858.5,5378.0,448.1666666666667,1315.0,109.58333333333333,30.468243148767865,64.44,36.63583333333333,34.2075,5486.0,391.85714285714283,846.0,60.42857142857143,19.209753850004294,18.1,18.8,17.9,19.1,30.919999999999998,51601.0
16,Lake,Unified,65278.0,13055.6,,0.0,,1693.0,188.11111111111111,464.0,51.55555555555556,29.484631121448963,76.97666666666666,44.36666666666666,42.27444444444444,1872.0,156.0,195.0,16.25,11.135766121742007,18.166666666666668,18.166666666666668,18.166666666666668,19.5,33.54333333333333,65278.0
17,Lassen,Unified,54299.0,18099.666666666668,High,13287.0,13287.0,661.0,220.33333333333334,141.0,47.0,21.29466588054981,77.92333333333333,40.35666666666666,38.14333333333334,661.0,220.33333333333334,81.0,27.0,12.704288161950625,21.0,21.0,21.0,22.0,55.56,67586.0
18,Los Angeles,Unified,618361.0,12882.520833333334,High,71528.0,14305.6,329756.0,804.2829268292683,145641.0,355.2219512195122,50.515042664090736,59.68643902439024,37.19331707317073,34.83009756097561,330158.0,778.6745283018868,62026.0,146.28773584905662,,20.39457831325301,20.27710843373494,20.198795180722893,20.879518072289155,44.316234939759035,689889.0
19,Madera,Unified,49229.0,12307.25,High,12571.0,12571.0,6182.0,475.53846153846155,1307.0,100.53846153846153,28.887459268217548,66.71000000000001,33.418461538461536,31.52153846153846,6267.0,391.6875,1125.0,70.3125,17.5848693000673,20.083333333333332,20.416666666666668,19.916666666666668,20.833333333333332,47.59166666666667,61800.0
